Date,BABA,JD,SMCI,EVRG,SO,NEE,WEC,DUK,CNP,ABNB,UBER,F,SPOT,LCID,SHOPCN,RIVN
2022-04-13,,,,,,,,,,95.918,,112.151,84.571,72.651,92.993,
2022-04-20,,,,,,,,,,95.178,,114.571,83.0,72.389,92.1,
2022-04-27,,,,,,,,,,92.291,,109.163,81.345,69.684,87.312,
2022-05-04,,,,,,,,,,92.027,,106.714,81.25,69.974,87.507,
2022-05-11,,,,,,,,,,85.5,,98.272,78.636,60.518,83.104,
2022-05-18,,,,,,,,,,85.907,,99.158,79.75,59.871,84.332,
2022-05-25,,,,,,,,,,84.985,,100.225,80.067,61.439,84.05,
2022-06-01,,,,,,,,,,87.758,,103.78,81.875,66.049,86.479,
2022-06-08,,,,,,,,,,88.341,,104.164,81.875,65.295,86.646,
2022-06-15,,,,,,,,,,83.086,,96.068,80.25,65.295,83.866,
2022-06-22,,,,,,,,,,82.999,,92.967,79.7,59.87,83.6,
2022-06-29,,,,,,,,,,83.485,,93.5,80.0,60.33,84.979,
2022-07-06,,,,,,,,,,83.403,,90.141,80.375,57.52,86.024,
2022-07-13,,,,,,,,,,83.75,,93.671,79.875,59.4,85.413,
2022-07-20,,,,,,,,,,86.171,,97.28,81.0,63.42,87.389,
2022-07-27,,,,,,,,,,86.58,,99.992,82.188,63.125,85.789,
2022-08-03,,,,,,,,,,87.102,,110.613,82.031,68.399,87.65,
2022-08-10,,,,,,,,,,88.48,,110.85,82.283,63.637,87.519,
2022-08-17,,,,,,,,,,88.334,,113.48,82.558,64.821,87.0,
2022-08-24,,,,,,,,,,86.196,,110.553,82.0,62.227,86.36,
2022-08-31,,,,,,,,,,86.144,,109.427,81.868,62.771,85.274,
2022-09-07,,,,,,,,,,85.857,,108.55,81.243,62.205,84.791,
2022-09-14,,,,,,,,,,86.93,,106.755,81.844,65.736,84.375,
2022-09-21,,,,,,,,,,84.0,,100.74,81.063,65.131,83.417,
2022-09-28,,,,,,,,,,83.779,,95.963,79.45,62.499,82.076,
2022-10-05,,,,,,,,,,84.748,,97.461,79.73,64.142,83.8,
2022-10-12,,,,,,,,,,84.465,,93.268,79.03,61.036,83.07,
2022-10-19,,,,,,,,,,85.004,,94.94,80.295,59.732,83.23,
2022-10-26,,,,,,,,,,84.776,,97.605,79.726,61.774,83.2,
2022-11-02,,,,,,,,,,82.652,,101.35,79.9,63.159,84.253,
2022-11-09,,,,,,,,,,82.56,,100.389,80.0,60.006,84.23,
2022-11-16,,,,,,,,,,85.017,,104.035,80.5,61.14,85.625,
2022-11-23,,,,,,,,,,83.675,,103.702,79.85,55.876,85.427,
2022-11-30,,,,,,,,,,83.85,,103.25,80.25,56.475,85.527,
2022-12-07,,,,,,,,,,83.593,,100.531,80.75,53.858,85.492,
2022-12-14,,,,,,,,,,84.287,,102.018,81.273,51.033,86.199,
2022-12-21,,,,,,,,,,83.209,,95.574,80.831,52.25,86.079,
2022-12-28,,,,,,,,,,82.915,,92.62,80.857,51.619,85.625,
2023-01-04,,,,,,,,,,83.368,,95.702,81.5,51.625,85.75,
2023-01-11,,,,,,,,,,85.08,,101.28,82.25,52.577,86.0,
2023-01-18,,,,,,,,,,85.508,,99.027,82.72,53.0,86.3,
2023-01-25,,,,,,,,,,85.438,,99.55,83.375,53.336,87.951,
2023-02-01,,,,,,,,,,86.299,,102.908,84.0,65.697,87.778,
2023-02-08,,,,,,,,,,86.165,,100.785,83.938,67.714,88.063,
2023-02-15,,,,,,,,,,89.218,,101.015,83.68,67.991,88.5,
2023-02-22,,,,,,,,,,87.276,,97.014,82.4,66.451,86.25,
2023-03-01,,,,,,,,,,86.0,,97.68,82.25,59.85,85.45,
2023-03-08,,,,,,,,,,87.208,,99.998,82.98,60.75,85.4,
2023-03-15,,,,,,,,,,86.033,,94.917,82.875,57.75,86.5,
2023-03-22,,,,,,,,,,87.082,,97.0,83.125,58.254,87.24,
2023-03-29,,,,,,,,,,87.002,,96.904,83.736,56.369,87.8,
2023-04-05,,,,,,,,101.703,,87.375,,99.487,84.0,56.642,87.835,
2023-04-12,,,,,,,,102.144,,86.89,,101.32,84.4,57.929,88.0,
2023-04-19,,,,,,,,101.562,,87.337,,98.741,84.55,54.625,88.2,
2023-04-26,,,,,,,,101.938,,86.9,,96.5,84.4,53.75,88.456,
2023-05-03,,,,,,,,101.792,,87.57,,97.647,84.767,53.931,88.35,
2023-05-10,,,,,,,,102.239,,87.324,,97.797,84.968,50.05,90.7,
2023-05-17,,,,,,,,100.458,,86.815,,96.313,85.125,49.0,90.306,
2023-05-24,,,,,,,,99.239,,86.592,,96.773,85.247,49.5,90.285,
2023-05-31,,,,,,,,99.088,,86.881,,98.838,85.5,52.0,89.966,
2023-06-07,,,,,,,,99.278,,87.6,,103.425,85.55,58.0,90.572,
2023-06-14,,,,,,,,99.381,,87.869,,106.451,85.3,60.875,91.344,
2023-06-21,,,,,,,,98.897,,87.524,,105.212,85.33,60.8,90.563,
2023-06-28,,,,,,,,97.854,,87.728,,108.208,85.25,63.346,91.188,
2023-07-05,,,,,,,,98.415,,87.832,,110.422,85.0,65.625,91.301,
2023-07-12,,,,,,,,98.47,,88.064,,110.038,85.25,65.75,90.208,
2023-07-19,,,,,,,,98.873,,89.576,,105.501,85.894,67.375,90.75,
2023-07-26,,,,,,,,99.286,,90.037,,103.976,85.0,66.249,90.358,
2023-08-02,,,,,,,,98.283,,89.516,,101.345,84.9,66.638,89.875,
2023-08-09,,,,,,,,98.3,,88.791,,100.32,84.95,66.25,88.95,
2023-08-16,,,,,,,,98.109,,87.69,,96.275,84.881,66.119,89.089,
2023-08-23,,,,,,,,97.589,,87.407,,96.803,85.0,65.0,89.192,
2023-08-30,,,,,,,,97.375,,87.88,,97.4,85.25,64.806,89.169,
2023-09-06,,,,,,,,97.033,,88.779,,97.341,85.25,64.597,90.753,
2023-09-13,,,,,,,,98.502,,89.273,,100.046,85.465,63.25,90.188,
2023-09-20,,,,,,,,98.563,,88.715,,99.225,85.01,62.0,89.149,
2023-09-27,,,,,,,,97.219,,87.759,,98.249,85.355,60.625,88.84,
2023-10-04,,,,,,,,96.87,,87.217,,96.42,85.2,59.708,89.077,
2023-10-11,,,,,,,,97.784,,87.85,,97.671,85.2,58.313,89.585,105.3
2023-10-18,,,,,,,,97.453,,86.851,,95.863,85.48,58.5,89.05,99.419
2023-10-25,,,,,,,,97.141,,86.746,,94.697,85.25,56.0,88.295,94.616
2023-11-01,,,,,,,,97.341,,86.735,,91.65,85.832,54.75,88.541,91.074
2023-11-08,,,,,,,,98.057,,87.307,,92.7,86.1,53.0,91.228,95.935
2023-11-15,,,,,,,,98.061,,87.939,,93.736,86.432,52.0,91.877,97.992
2023-11-22,,,,,,,,98.34,,88.234,102.246,93.2,86.696,51.0,92.461,93.077
2023-11-29,,,,,,,,98.573,,88.32,103.85,94.296,87.194,51.0,93.056,97.911
2023-12-06,,,,101.202,,,,98.921,,89.27,106.539,94.748,87.902,51.375,92.951,102.487
2023-12-13,,,,102.5,,,,99.13,,90.269,108.662,94.851,87.533,49.25,92.5,107.671
2023-12-20,,,,101.732,,,,100.06,,90.421,108.883,99.039,88.45,52.5,94.15,122.845
2023-12-27,,,,102.612,,,,100.149,,90.06,110.514,100.275,88.75,53.0,94.019,124.175
2024-01-03,,,,103.804,,,,100.441,,89.609,105.6,98.227,88.62,51.25,92.813,111.372
2024-01-10,,,,103.896,,,,100.754,,90.473,109.436,97.974,88.5,51.25,95.313,106.508
2024-01-17,,,,102.224,,,,99.974,,90.207,109.779,96.133,88.893,47.5,94.868,97.138
2024-01-24,,,,100.774,,,,99.46,,90.553,110.26,95.84,89.313,43.809,95.375,91.882
2024-01-31,,,,101.44,,,,99.973,,90.902,111.989,97.612,89.605,40.0,95.856,91.973
2024-02-07,,,,100.478,,,,99.321,,91.238,116.79,101.195,90.075,40.0,96.032,91.232
2024-02-14,,,,99.929,,,,98.233,,91.133,125.752,100.411,90.321,42.375,95.318,91.25
2024-02-21,,,,100.327,,,,98.528,,90.999,122.789,99.865,90.375,45.25,94.931,91.47
2024-02-28,,,100.051,99.596,,100.078,,98.035,,91.296,123.852,99.704,90.221,43.75,94.602,70.209
2024-03-06,,,117.09,99.921,,100.618,,98.519,,92.515,125.182,100.546,91.271,44.5,94.423,69.45
2024-03-13,,,120.635,100.799,,103.957,,98.801,,93.108,125.115,100.476,91.816,43.5,95.042,75.5
2024-03-20,,,105.3,101.072,,105.952,,98.746,,93.181,123.84,100.0,91.73,43.125,95.987,72.007
2024-03-27,,,111.638,100.591,,107.042,,98.56,,93.2,125.878,102.633,91.75,51.75,95.422,70.3
2024-04-03,,,111.03,101.467,,105.933,,98.761,,92.613,123.419,105.024,93.487,51.25,94.811,68.149
2024-04-10,,,104.789,100.092,,107.13,,98.481,,92.438,120.555,102.85,94.493,51.5,94.897,68.189
2024-04-17,,,107.4,99.247,,106.533,,98.072,,92.002,118.267,99.194,93.667,48.5,93.693,58.836
2024-04-24,,,96.427,100.154,,109.106,,99.009,,92.37,115.407,102.727,93.271,46.25,93.988,59.033
2024-05-01,,,95.732,100.649,,110.589,,99.461,,91.782,115.424,100.416,93.296,46.75,94.032,59.307
2024-05-08,,,100.167,101.689,100.993,114.637,,100.122,,92.132,113.385,100.228,94.59,48.25,93.222,66.357
2024-05-15,,,105.277,102.676,102.013,119.872,,100.629,,91.562,113.54,100.789,94.684,54.0,92.875,65.558
2024-05-22,,101.877,102.648,102.538,102.06,119.585,,100.667,,91.307,111.753,99.548,94.385,53.75,92.83,67.332
2024-05-29,100.035,98.0,100.49,100.365,100.656,119.33,98.974,99.701,,91.125,110.822,97.95,94.578,52.5,92.735,65.24
2024-06-05,100.315,99.299,98.646,101.731,102.26,120.564,99.984,100.671,,91.199,112.011,99.03,95.749,51.0,92.95,70.416
2024-06-12,99.447,98.403,98.8,101.184,101.95,116.175,99.685,100.381,,91.489,119.418,99.68,95.158,50.75,93.75,73.118
2024-06-19,98.584,97.825,104.721,101.222,101.774,113.954,99.483,100.308,,91.356,116.691,99.0,95.169,50.75,93.498,69.318
2024-06-26,98.28,95.842,100.727,100.721,101.633,116.71,99.24,99.668,,91.475,117.11,99.655,95.13,52.625,93.353,91.009
2024-07-03,98.434,94.444,102.65,100.973,101.579,114.058,99.059,99.655,,91.55,117.28,102.5,95.352,56.75,93.45,91.444
2024-07-10,98.92,94.214,103.99,101.511,101.99,116.43,99.4,100.3,,91.524,115.211,103.355,94.95,58.0,93.527,98.379
2024-07-17,99.87,94.7,100.551,103.181,103.7,115.948,101.546,102.038,,91.706,115.617,109.181,94.844,60.5,93.8,101.659
2024-07-24,98.855,93.266,95.27,103.004,103.985,117.011,101.973,102.479,,91.818,113.244,101.591,96.608,58.75,93.554,97.676
2024-07-31,100.434,93.685,94.734,105.062,104.757,120.908,103.151,102.804,99.689,91.715,111.852,97.226,97.1,63.125,93.811,97.264
2024-08-07,100.465,93.166,84.836,106.99,107.524,122.253,105.952,105.017,99.689,91.528,113.608,95.954,96.755,64.75,94.594,86.659
2024-08-14,101.498,93.979,88.424,107.35,107.695,123.043,106.54,105.442,99.404,91.719,119.858,96.8,97.226,64.25,94.828,85.846
2024-08-21,103.747,95.494,90.403,106.974,108.074,124.51,107.508,104.888,99.396,92.0,121.973,97.736,97.774,66.375,95.314,83.265
2024-08-28,101.7,95.309,81.503,107.393,107.19,124.221,108.618,105.37,99.79,92.13,120.304,98.839,97.554,67.5,95.227,87.75
2024-09-04,103.776,96.356,81.13,108.487,108.203,126.708,109.486,106.572,100.27,92.225,120.371,98.53,97.048,67.625,95.125,85.979
2024-09-11,104.9,95.65,81.7,108.365,109.623,127.95,110.374,107.018,100.536,92.586,118.716,97.7,97.665,67.625,95.245,86.289
2024-09-18,105.797,96.95,82.102,110.082,109.297,130.774,110.5,106.0,100.649,92.8,122.875,99.053,98.012,68.5,95.848,85.799
2024-09-25,113.68,103.64,82.924,109.75,109.086,130.917,110.225,106.434,100.844,93.2,127.678,97.81,100.618,68.5,96.256,78.734
