Date,BABA,JD,SMCI,EVRG,SO,NEE,WEC,DUK,CNP,ABNB,UBER,F,SPOT,LCID,SHOPCN,RIVN
2020-09-16,,,,,,,,,,,,,,,1163.4058901363771,
2020-09-23,,,,,,,,,,,,,,,1176.6324515819213,
2020-09-30,,,,,,,,,,,,,,,1219.9708906412634,
2020-10-07,,,,,,,,,,,,,,,1238.9018207449578,
2020-10-14,,,,,,,,,,,,,,,1242.6531611347184,
2020-10-21,,,,,,,,,,,,,,,1214.7270662321696,
2020-10-28,,,,,,,,,,,,,,,1218.1189131116714,
2020-11-04,,,,,,,,,,,,,,,1200.2058803811453,
2020-11-11,,,,,,,,,,,,,,,1174.102835914233,
2020-11-18,,,,,,,,,,,,,,,1169.19849167704,
2020-11-25,,,,,,,,,,,,,,,1204.0238225478424,
2020-12-02,,,,,,,,,,,,,,,1228.009860308953,
2020-12-09,,,,,,,,,,,,,,,1210.0544889087018,
2020-12-16,,,,,,,,,,,,,,,1263.5503800462302,
2020-12-23,,,,,,,,,,,,,,,1282.9095568376345,
2020-12-30,,,,,,,,,,,,,,,1268.3495783283215,
2021-01-06,,,,,,,,,,,,,,,1232.1553553142633,
2021-01-13,,,,,,,,,,,,,,,1281.444998888147,
2021-01-20,,,,,,,,,,,,,,,1282.3923401012794,
2021-01-27,,,,,,,,,,,,,,,1235.0230020721542,
2021-02-03,,,,,,,,,,,,,,,1291.3018727513631,
2021-02-10,,,,,,,,,,,,,,,1407.5846254413182,
2021-02-17,,,,,,,,,,,,,,,1385.649239453908,
2021-02-24,,,,,,,,,,,,,,,1323.1298744428263,
2021-03-03,,,,,,,,,,,,,1087.525828162889,,1281.5423771414446,
2021-03-10,,,,,,,,,,1550.7935928797933,,,1056.7877300833738,,1220.8658529768668,
2021-03-17,,,,,,,,,,1609.7112023032687,,1115.3244854028067,1069.8182743553423,,1258.3539752355912,
2021-03-24,,,,,,,,,,1528.3676930519232,,1094.740354855187,1046.269531514002,,1230.2377810011299,
2021-03-31,,,,,,,,,,1552.5999426093058,,1094.9028521614437,1048.9712008943518,,1226.6715808917947,
2021-04-07,,,,,,,,,,1524.78015094206,,1115.677513356657,1061.2151966681886,,1251.220767356573,
