Date,realized_pnl,unrealized_pnl,available capital,SPX Index,LQD US Equity,HYG US Equity,WORLD Index,SX5E Index,HSI Index,CCMP Index,GSTHHVIP Index,rf
2018-01-03,,,,,,,,,,,,0.0224124
2018-01-10,-0.0002520122418192196,,-0.010735350314397207,0.01296322233935121,-0.0037199305612961586,-0.003646308113035679,0.01633274365409143,0.028476757040126754,0.016778601450543995,0.012460494824875212,0.013651877133105783,0.023278599999999997
2018-01-17,-0.0003950952481898685,0.0002459980790392712,-0.002342128673946231,0.019769087740109104,0.0007467640225689021,0.001143641354071523,0.01761658031088076,0.0008172129989501009,0.02927522034696839,0.0202290604551294,0.018596820922402335,0.0240347
2018-01-24,1.6286555488280787e-05,0.0017927874141174982,0.0003640461654301763,0.01248144553551045,-0.004228505099079682,0.002398903358464599,0.016579684317718835,0.00842564451751815,0.030493308874819824,0.01600103037976086,0.020332859284313942,0.024354200000000003
2018-01-31,1.7402995601425857e-05,0.0005280736918823613,0.0019192198089263979,-0.004838698309098777,-0.00024979184013318445,-0.00512820512820511,-0.007825950853028618,-0.00931318998029207,-0.0021669550579833663,-0.000482801218061768,-0.0045204550591425585,0.0250892
2018-02-07,1.7053869341944146e-05,-6.922576778409901e-05,0.0013948370421006384,-0.05033978915011994,-0.01632381111018566,-0.01557846506300109,-0.051940369143397946,-0.04288100983850007,-0.07796542552787133,-0.04850583149384469,-0.04680995988798908,0.0255448
2018-02-14,1.8279800723624656e-05,-0.0019417111682254145,0.0021860810397764663,0.006328169864934452,-0.011514689696046077,-0.0061670933209215795,0.0031282499272016207,-0.024515706957840777,0.006344976783452916,0.0129949319198297,0.004446385326928537,0.026317499999999997
2018-02-21,-0.00039217253620244853,0.0021554641420251978,-0.013447037266373862,0.001000507665000372,-0.0020556745182012115,0.004097880810209675,0.007364955088702718,0.017902980269034252,0.030026937042037627,0.010444284550410021,0.008655784356349505,0.0268693
2018-02-28,3.3484838947184746e-05,-0.002986204687656275,0.001970129812978172,0.004627350231182437,0.004806454381597991,0.004897388059701413,-0.0014572818811285915,0.0025654779951955753,-0.018680709305103793,0.007589118107901971,0.007797805642633326,0.0263444
2018-03-07,3.621252245824887e-05,0.001651368267544368,0.0056828085181819255,0.004779223459096649,-0.006833518407790229,-0.006033882571362392,-0.0010636368133770668,-0.01791239211854745,-0.02100197375758328,0.016999839131253802,0.013180916831914136,0.0264514
2018-03-14,3.3624494766127525e-05,-0.0021362548941728523,0.004365062461840541,0.00831744168989279,0.002064161004558418,-0.001167406023815043,0.010614677308857567,0.004032735627827577,0.04100053912783164,0.013541265302535743,0.010438253127638353,0.026073
2018-03-21,3.0489825310913922e-05,0.001769583264263409,0.0017159215168471853,-0.013657127893274446,-0.005321431636769458,0.0010518934081347187,-0.011164743259909127,0.0029666939940666825,-0.0006518210110318945,-0.020211263190610507,-0.015609570831750852,0.026732
2018-03-28,3.463043234848906e-05,0.0009695672595966069,0.007264715756603923,-0.03942948379936051,0.008370006040210543,-0.003502626970227851,-0.029759151579225596,-0.020520193823065913,-0.04431040168686329,-0.053920267273314004,-0.05463173733554538,0.025851700000000002
2018-04-04,3.202192768339958e-05,-0.0012615588444987325,0.00026170632083322154,0.015236084452975085,-0.0015403046380283447,0.0004686584651436565,0.005048140360435438,0.002731707317073173,-0.016782063337100528,0.013365509560052002,0.014120719911847601,0.0261271
2018-04-11,3.228233031846814e-05,0.0010715287366244099,0.0007499154688723753,-0.0009452903742971364,0.004799451491257933,0.0063239255182105936,0.010909522115498671,0.023757989432245052,0.04671684278672261,0.003822717906990958,0.0016097227252604984,0.0260724
2018-04-18,3.433146099761495e-05,0.0004413030122245648,0.00369732491565955,0.025149591815879946,-0.007335380416240156,0.005120446875363616,0.0174193548387096,0.02081463048036225,-0.019854545854692818,0.03200014712060928,0.031098075455020302,0.0272425
2018-04-25,3.588656957808933e-05,0.0010968562851606653,0.005014288042130222,-0.025562643983696565,-0.014263619178553011,-0.010072941993747864,-0.02305050688056398,-0.0014494870935491955,0.0014495983886013697,-0.03995756136878292,-0.03635584304251249,0.0283346
2018-05-02,3.666618244533767e-05,-8.671671388688118e-05,0.0025858454606850767,-0.0014131999696901376,-0.0020048814504881607,-0.0015204678362572555,0.0010452667959199857,0.019496074105736616,0.013048273633571528,0.01387258807437175,-0.00800646987464626,0.0278606
2018-05-09,3.7740602408725714e-05,-0.00025033847175026994,0.004810200044996549,0.02356895969525774,-8.73438728272724e-05,0.0016399203467261092,0.013077454233120456,0.004488166155006246,-0.006110556349002816,0.03365911363348317,0.02865644872003914,0.0283156
2018-05-16,3.62332940778966e-05,-0.0016998867308210901,0.004452391562045355,0.009144521997635158,-0.0039308176100628645,-0.0008186177055315991,0.00660809429210274,-0.0019301125572169786,0.01879936363928114,0.007955138414503793,0.012244897959183598,0.029324799999999998
2018-05-23,-0.00011193924314460203,0.0014962669226252954,-0.005945003842257934,0.003978019879079975,0.00605103920021044,0.002457865168539408,-0.002113920496771282,-0.00590257799233751,-0.014289847059806848,0.0037386967276265004,0.00904321954274967,0.0282015
2018-05-30,3.336580192483874e-05,-2.351906774686664e-05,0.0013606814815687596,-0.003395175777176851,0.007147838214783819,-0.0022183304144776095,-0.010666468066795831,-0.028411946400438204,-0.01985446904092003,0.004913842789349809,0.0008923375363725228,0.026713900000000002
2018-06-06,3.356572339542793e-05,-0.001282358950638803,0.0018640819650641571,0.017745896674387973,-0.010645663839363051,0.0025743037678447322,0.019036944720927984,0.005704422016802324,0.04000127758153815,0.030390823389101485,0.020466702845181706,0.0279977
2018-06-13,3.301305162483189e-05,5.126787120283436e-05,0.002081258042778922,0.0011831118004581587,-0.00017496282040063704,0.0028011204481792618,-0.00026265461738606,0.0054149016707023545,-0.017081425888781143,0.0008401350458562273,0.008090860746030604,0.0282044
2018-06-20,3.1883446475843275e-05,-0.0008504064039297932,0.0005894599306282,-0.0029939148949967853,-0.0029748884416834764,0.0018621973929235924,-0.013201862053677682,-0.01148421064732319,-0.03348982836536207,0.011151682108190286,0.009947624251102072,0.0279932
2018-06-27,3.474772120943588e-05,0.004630600082269739,0.00449822226121932,-0.02446048884841656,0.006230802983764772,-0.006505576208178487,-0.02170675496909147,-0.012347365972787516,-0.04512063340154637,-0.04323448375124661,-0.043241428198335874,0.026880799999999996
2018-07-04,3.2916227559979386e-05,-0.0005649322026302872,0.0005985010860483087,0.00503402318095425,0.0,-0.008536014967258976,0.003070145598040641,0.004386055287845858,-0.004041082991903755,0.007733956204693193,0.007877086257993993,0.027090700000000002
2018-07-11,3.3407092883806536e-05,-0.0018130665107975773,0.0013450862698922705,0.02240879840189902,0.006105006105006083,0.006486613987498391,0.015753105260926548,0.0030245923980738443,0.0024793151396500512,0.028515181928566724,0.027315638783564244,0.0273792
2018-07-18,3.290625017622225e-05,-0.003675388793942445,0.0014031242035663638,0.014996286977022377,0.00043342579750338395,0.0032809936723694477,0.010842800263766383,0.018329510424123674,-0.006861829866037672,0.01786147025701701,0.012051822838204496,0.0276158
2018-07-25,3.2137270665673184e-05,-0.0014512988260677313,0.001178088768746699,0.0108146695931981,-0.0009531236461312043,0.0036206493809858298,0.009958547340258583,-0.004771769945022819,0.02857587929475769,0.00990522557941742,0.005098243524858326,0.0282634
2018-08-01,3.355132974151078e-05,0.008698233680044257,0.0036097801319767697,-0.011493041281486427,-0.002515177797051127,-0.001163737926219155,-0.005281747718873686,0.011757413253759008,-0.02006023325691797,-0.02835895030911817,-0.029656781072975646,0.0285614
2018-08-08,0.00462928982888654,0.004008234825420191,0.009118475630323752,0.015760514118349445,0.0006086427267193439,0.003145753233135151,0.006189278492873873,-0.004453968534407826,0.0006492420451971181,0.023489449599015888,0.018238705738705896,0.0282171
2018-08-15,0.0005853097363570674,0.00266935809288925,0.007861241190523671,-0.01376281625083109,0.005561348627042051,-0.003135888501742068,-0.026336641751419365,-0.03850469429814518,-0.036515564294262726,-0.014478349663363477,-0.02109720452671815,0.027168499999999998
2018-08-22,-0.00012220973419957735,0.00042691158431053803,-0.007435376831123608,0.015416712496939766,0.002160387141375786,0.004776884539205328,0.019615575001468155,0.018189504269026102,0.022105074772385436,0.014790098429147136,0.021666730467404083,0.0268896
2018-08-29,1.935693020581303e-05,-0.0018288612487938312,0.0005799769903398477,0.018247129449091792,-0.0040527722686901635,0.0009276437847867136,0.016185437220745724,0.01051114268839659,0.0175045600084216,0.027961364414191614,0.02383004233954078,0.0276026
2018-09-05,1.8762189086361244e-05,0.0006576294451474934,0.0008922391503531912,-0.008730147835994018,-0.005974025974025965,-0.0069508804448562556,-0.02034883720930236,-0.04065529942450086,-0.0412644933707389,-0.0141213782524362,-0.021006404391582856,0.0275351
2018-09-12,0.007078436148768797,0.005434008188290966,0.00881352894033438,0.00011078030880007361,0.0016549081090497797,0.004316378908072904,-0.0018514997974922176,0.003311597830873314,-0.03299129895370878,-0.0051205915571527205,0.008111846286120272,0.0284667
