,SPX Index,LQD US Equity,HYG US Equity,WORLD Index,SX5E Index,HSI Index,CCMP Index,GSTHHVIP Index
realized_pnl,0.014443635386946213,0.012218466090666477,0.030559559448351654,0.011177577613563782,0.02164673243042949,0.02732211382434208,-0.0047167374286398904,0.0036149661738989953
unrealized_pnl,-0.12638606598016072,0.12399860435220066,0.05968969761753021,-0.04272875074976482,0.09717277741564731,0.040317635445838704,-0.18030864664267912,-0.14409256607329915
available capital,-0.010885264908113227,-0.011573322620743976,-0.02637367671636069,0.007738272357024436,0.04494088349592334,0.06208066068237054,-0.009162508825151265,-0.01090698330999871
