ticker,obs,baseline_avg_cheapness,lattice_avg_cheapness,avg_lattice_minus_baseline_pct_market,baseline_trade_zone_rate,lattice_trade_zone_rate
F,206,0.015697658613904673,0.02743731977326451,0.011739661159359843,0.1336206896551724,0.05172413793103448
SMCI,52,0.33849766877837933,0.34581728711506476,0.0073196183366855,0.0,0.0
SPOT,208,0.047610938594844186,0.04355676745928627,-0.004054171135557913,0.3232758620689655,0.5344827586206896
CNP,30,0.023387719045712033,0.018897264623611746,-0.004490454422100284,0.12931034482758622,0.11637931034482758
NEE,52,-0.007028917679190676,-0.011638640063722856,-0.004609722384532179,0.05172413793103448,0.017241379310344827
DUK,99,0.021979979935365747,0.01427613192270209,-0.007703848012663661,0.40086206896551724,0.4224137931034483
EVRG,64,0.04464621305033105,0.029992099442740363,-0.014654113607590688,0.1336206896551724,0.21120689655172414
SO,42,0.03321842975931529,0.018332348622655658,-0.014886081136659639,0.14224137931034483,0.1810344827586207
SHOPCN,232,0.05755647319188159,0.035223542592820074,-0.022332930599061517,0.30603448275862066,0.6594827586206896
WEC,39,0.0660850746989205,0.03352395397107328,-0.03256112072784721,0.04310344827586207,0.1206896551724138
LCID,167,0.4808375378383982,0.44618057147516466,-0.0346569663632336,0.0,0.0
BABA,39,-0.03302124910152953,-0.07424715972397304,-0.041225910622443504,0.01293103448275862,0.0
JD,40,0.024983093479258527,-0.047192081671745136,-0.07217517515100366,0.15948275862068967,0.004310344827586207
UBER,66,0.09423678927347967,0.014803640201310884,-0.07943314907216881,0.02586206896551724,0.2025862068965517
RIVN,72,0.4148287307772509,0.3056534086231999,-0.10917532215405107,0.0,0.0
ABNB,207,0.1925673829232637,0.0469747198831024,-0.1455926630401613,0.2025862068965517,0.47844827586206895
