Date,ABNB,BABA,CNP,DUK,EVRG,F,JD,LCID,NEE,RIVN,SHOPCN,SMCI,SO,SPOT,UBER,WEC
2020-09-16,,,,,,,,,,,1203.4139525585817,,,,,
2020-09-23,,,,,,,,,,,1218.183631767813,,,,,
2020-09-30,,,,,,,,,,,1260.8533620355506,,,,,
2020-10-07,,,,,,,,,,,1289.7762860086045,,,,,
2020-10-14,,,,,,,,,,,1284.2074971121167,,,,,
2020-10-21,,,,,,,,,,,1248.976379316788,,,,,
2020-10-28,,,,,,,,,,,1253.9360655093615,,,,,
2020-11-04,,,,,,,,,,,1213.436983478417,,,,,
2020-11-11,,,,,,,,,,,1169.5865419256354,,,,,
2020-11-18,,,,,,,,,,,1160.497201972357,,,,,
2020-11-25,,,,,,,,,,,1196.8793928331079,,,,,
2020-12-02,,,,,,,,,,,1238.3004944129082,,,,,
2020-12-09,,,,,,,,,,,1225.300803882515,,,,,
2020-12-16,,,,,,,,,,,1285.6245618773758,,,,,
2020-12-23,,,,,,,,,,,1306.3372264932825,,,,,
2020-12-30,,,,,,,,,,,1288.0481552059543,,,,,
2021-01-06,,,,,,,,,,,1254.5572545789275,,,,,
2021-01-13,,,,,,,,,,,1305.0460114059451,,,,,
2021-01-20,,,,,,,,,,,1293.4110082031955,,,,,
2021-01-27,,,,,,,,,,,1265.3593232471003,,,,,
2021-02-03,,,,,,,,,,,1309.172083049929,,,,,
2021-02-10,,,,,,,,,,,1449.7481214199918,,,,,
2021-02-17,,,,,,,,,,,1404.132093174443,,,,,
2021-02-24,,,,,,,,,,,1341.1452323181177,,,,,
2021-03-03,,,,,,,,,,,1292.5137435370802,,,1124.9124023327456,,
2021-03-10,1209.2126272713463,,,,,,,,,,1229.6999714067224,,,1090.051714612821,,
2021-03-17,1243.5885888567627,,,,,1249.601491528758,,,,,1257.8871965791675,,,1097.5397877518353,,
2021-03-24,1156.5547536918875,,,,,1183.7366446975338,,,,,1206.3868648429768,,,1050.208684397945,,
2021-03-31,1154.034575831738,,,,,1179.8888510804704,,,,,1193.9799353673427,,,1042.8992829173942,,
2021-04-07,1128.8793584178097,,,,,1197.8048604297107,,,,,1208.0328484935685,,,1052.7261465704025,,
2021-04-14,1099.8902620574304,,,,,1160.6781952239216,,,,,1213.4131875185565,,,1052.1073584671979,,
2021-04-21,1067.2616919656175,,,,,1114.1060746336457,,,,,1190.224169616343,,,1032.6342308555284,,
2021-04-28,1085.0223413061897,,,,,1149.409998800733,,,,,1246.0512190073528,,,1014.0642071683051,,
2021-05-05,1053.955821873052,,,,,1106.080283363326,,,,,1173.544662640532,,,999.107469298177,,
2021-05-12,1046.2930047417904,,,,,1097.7833829359465,,,,,1172.20622889267,,,991.1976215356177,,
2021-05-19,1034.8242577380665,,,,,1132.9643681136938,,,,,1208.1612053350789,,,984.9740443760376,,
2021-05-26,1016.7281366697047,,,,,1217.8018943274956,,,,,1225.7747377180983,,,993.876760228808,,
2021-06-02,1053.5632388873823,,,,,1269.8783933829452,,,,,1215.7367015984605,,,997.0095379485729,,
2021-06-09,1035.929697526026,,,,,1307.1752859288229,,,,,1206.6257679240875,,,997.2933668816146,,
2021-06-16,1032.4411513034802,,,,,1267.4752122948482,,,,,1267.3343377893134,,,986.370202121099,,
2021-06-23,1027.4584217605657,,,,,1277.1591408081106,,,,,1341.1134360238564,,,996.6082376456934,,
2021-06-30,1032.621235814796,,,,,1240.7679382973924,,,,,1318.2824543052257,,,1015.5159643291296,,
2021-07-07,1023.4049431059138,,,,,1200.0546507933293,,,,,1359.8368101811204,,,1008.093069663876,,
2021-07-14,1012.7493437578509,,,,,1199.5183015525138,,,,,1321.0709310890504,,,1001.0220940879237,,
2021-07-21,1010.0186844104619,,,,,1199.6749324374962,,,,,1372.3095630136377,,,1001.8995583126297,,
2021-07-28,1018.2081703727154,,,,,1191.504461287971,,,,,1349.6413798388178,,,984.0888470598051,,
2021-08-04,1026.5303823143392,,,,,1165.4581051667512,,,,,1357.2401500558153,,,982.0335638542791,,
2021-08-11,1019.5620523954805,,,,,1174.4816733040514,,,,,1316.4856348195206,,,972.1406608760267,,
2021-08-18,1015.2635229168646,,,,,1133.6117372700803,,,,,1320.8000651556843,,,969.7556466765499,,
2021-08-25,1033.498330710365,,,,,1143.3702992435244,,,,,1342.2391042515203,,,979.1674369315854,,
2021-09-01,1028.5472077497016,,,,,1140.2342050117888,,,,,1330.3301354010378,,,987.2781848789125,,
2021-09-08,1039.8552291743204,,,,,1134.8956532042678,,,,,1297.3568886537605,,,998.6056634626892,,
2021-09-15,1038.6006471290013,,,,,1140.5270672185072,,,,,1294.3430031128607,,,993.682080666275,,
2021-09-22,1042.16566838175,,,,,1147.0444497271772,,,,,1290.8818016231921,,,984.5298599528672,,
2021-09-29,1036.1628167934866,,,,,1190.3805068955169,,,,,1242.5641226087555,,,970.9111396055148,,
2021-10-06,1044.4658793640067,,,,,1176.8787815863016,,,,,1242.8355076214712,,,983.1661137925489,,
2021-10-13,1041.7757397739974,,,,,1249.9530761340125,,,,,1248.6632199717837,,,981.274495240337,,
2021-10-20,1027.8113158020649,,,,,1260.711352237292,,,,,1277.7855950814119,,,980.6433124657259,,
2021-10-27,1027.6093550970463,,,,,1246.781133278427,,,,,1224.3957585092026,,,992.5872342958294,,
2021-11-03,1035.1063640236266,,,,,1449.9738160295065,,,,,1292.7197973721095,,,1023.9593360018713,,
2021-11-10,1080.6262747423646,,,,,1512.265297041198,,,,,1302.6772847791997,,,1007.2779164716441,,
2021-11-17,1103.9354551247354,,,,,1533.1494487375548,,,,,1397.0284339616944,,,1011.0955053353863,,
2021-11-24,1071.6274049101387,,,,,1569.5084589737628,,,,,1412.6053554345635,,,997.150339432235,,
2021-12-01,1067.8286438181972,,,,,1540.215775911021,,,,,1338.8550909634973,,,990.3911008814279,,
2021-12-08,1083.6705367878615,,,,,1545.5939022990578,,,,,1355.2139673409827,,,994.4827341439961,,
2021-12-15,1067.5429323331002,,,,,1587.7741894886128,,1405.8318899545104,,,1294.1657247325854,,,983.0311855727091,,
2021-12-22,1061.0294498132573,,,,,1569.419270419907,,1354.3361961245214,,,1288.5407657548276,,,984.8987380752588,,
2021-12-29,1044.8418645756417,,,,,1577.8296901168637,,1308.6389140882334,,,1279.2555837168477,,,980.9913356348113,,
2022-01-05,1033.0408220264896,,,,,1765.1604769889727,,1272.9266819503603,,,1206.2195043733032,,,975.5052676370278,,
2022-01-12,1043.0526673759541,,,,,1804.99293276848,,1417.2090137860996,,,1181.9552215702006,,,973.9504684330282,,
2022-01-19,1024.699697157535,,,,,1681.4913497806472,,1352.6459444311456,,,1140.5990054221138,,,965.9060523681217,,
2022-01-26,1026.0733590097443,,,,,1552.827966924349,,1260.951749076793,,,1109.9178545126908,,,959.2413960049039,,
2022-02-02,1026.4128324863366,,,,,1565.3968488770897,,1173.719764684552,,,1112.2025563700433,,,976.2856106675749,,
2022-02-09,1040.0015996962538,,,,,1413.8990080902759,,1179.0102632924686,,,1119.1632573847683,,,943.9353209204497,,
2022-02-16,1069.0916460397896,,,,,1386.2183812396609,,1180.6275386685882,,,1048.1299828671822,,,928.1527943430831,,
2022-02-23,1034.3531060596017,,,,,1349.0610179529172,,1137.3289538511779,,,1023.5757855640236,,,919.7173950361961,,
2022-03-02,1044.619579266923,,,,,1413.0450572046132,,1094.6253949319307,,,1030.2302445994708,,,929.4022080956292,,
2022-03-09,1034.9449645743705,,,,,1328.920869171831,,1104.575478528447,,,1021.6018361016509,,,923.9896430159405,,
2022-03-16,1031.0211837125391,,,,,1321.3647513176102,,1068.9665553998016,,,1021.8445733982818,,,909.141412175203,,
2022-03-23,1019.6128093511587,,,,,1299.0424057055818,,1076.1828358737564,,,1040.7401069913158,,,904.5703462036229,,
2022-03-30,1016.4196520236172,,,,,1317.6940922300978,,1069.650581094677,,,1023.6046210715571,,,900.7022648798742,,
2022-04-06,1000.711637094708,,,,,1226.9402884815904,,1020.7753325679761,,,999.6367808040332,,,890.3957821805097,,
2022-04-13,1017.4963611486656,,,,,1231.2130180817962,,1014.8820524100997,,,984.7504001800015,,,889.39085023354,,
2022-04-20,1003.8451023815903,,,,,1246.0840883143424,,989.428921205158,,,961.7955916621427,,,877.1990629236125,,
2022-04-27,1003.4028519652812,,,,,1190.8941347904665,,967.4415572477276,,,948.644053931403,,,868.6303100904101,,
2022-05-04,995.7451382345156,,,,,1169.3027348898627,,984.9192610541027,,,965.3744867882608,,,873.6234758725326,,
2022-05-11,962.1074462520486,,,,,1090.0195743657275,,936.6283830766791,,,933.5198165900547,,,866.9044983783139,,
2022-05-18,941.5268604869902,,,,,1082.1784571828048,,974.3794575105011,,,940.4886358410392,,,868.1149154201436,,
2022-05-25,946.1459987326292,,,,,1077.9081095167073,,972.9429989906181,,,933.7355883579316,,,875.0726076415511,,
2022-06-01,940.8945463214375,,,,,1099.1614512870997,,985.7152738945176,,,931.3532503869375,,,863.7378807907535,,
2022-06-08,942.699527633653,,,,,1091.1634231937549,,971.1609754614218,,,935.3509989569194,,,862.6535392086489,,
2022-06-15,911.848008530817,,,,,1034.3634799140848,,933.685365573627,,,909.9771836117515,,,847.3208403759369,,
2022-06-22,910.093891522739,,,,,998.0894796367417,,938.7933522898695,,,913.7576986064628,,,846.7081931556012,,
2022-06-29,905.2391666043123,,,,,996.0633963076589,,930.1761413550544,,,914.526064720972,,,848.9550694590027,,
2022-07-06,905.2097759844526,,,,,978.7060650119164,,939.980162562659,,,914.3291026270042,,,855.4314865304075,,
2022-07-13,907.3199308339714,,,,,988.1680725241085,,939.697743580577,,,908.2261961054276,,,850.6556357026843,,
2022-07-20,911.5741737251684,,,,,1030.6048453724484,,944.8010069591701,,,917.6512915626224,,,853.2514227778911,,
2022-07-27,918.6994364339141,,,,,1064.705796179825,,927.359104217875,,,917.2650298959013,,,860.9739085968273,,
2022-08-03,914.5767899425861,,,,,1186.5113384142,,949.4286950811265,,,930.2961687571586,,,860.6811898227897,,
2022-08-10,914.70791970666,,,,,1163.168886794956,,907.917314182555,,,917.9492813431959,,,855.4099515640004,,
2022-08-17,915.8868221246217,,,,,1188.164705449144,,903.4701552931002,,,909.1040485822331,,,851.3267255011724,,
2022-08-24,906.6265671069183,,,,,1164.7290589004558,,879.1762316265375,,,897.6363072219731,,,847.2638882000533,,
2022-08-31,906.4141763408377,,,,,1153.4916230097879,,867.4853716371837,,,893.9342184826965,,,844.8033118899215,,
2022-09-07,907.7820304663667,,,,,1159.8645735371165,,859.3070824158442,,,892.9390568427647,,,845.3329822214646,,
2022-09-14,913.9061704032408,,,,,1114.5515557002998,,872.3564696167026,,,891.4111039538403,,,835.7205330568514,,
2022-09-21,893.2095488044055,,,,,1035.865938209279,,861.3831301571096,,,881.8668647389075,,,828.4040745790674,,
2022-09-28,892.2323924475096,,,,,1002.0014538384416,,855.6400913426743,,,877.755047445687,,,825.3574404792312,,
2022-10-05,891.0566261163603,,,,,1020.3072910140415,,850.0978104979791,,,877.2650683259458,,,825.069745027819,,
2022-10-12,895.6302723383568,,,,,986.9931063603642,,831.6199735916094,,,866.9960219348243,,,821.3255445060344,,
2022-10-19,895.7921034443478,,,,,1003.1781221763499,,818.0794857413218,,,864.4039898596493,,,816.4365317005272,,
2022-10-26,891.7499712313936,,,,,1020.3054038307,,833.4787371596169,,,867.5973476078373,,,814.5572645366613,,
2022-11-02,855.3862108596128,,,,,1016.2794281429766,,829.119623012829,,,857.9453967716687,,,806.5946992463379,,
2022-11-09,863.8875607147817,,,,,1037.5274113085134,,812.2659777762733,,,854.6552445001407,,,808.1406172245943,,
2022-11-16,879.8047652676945,,,,,1052.97753315007,,823.181035475547,,,882.41787532047,,,821.3959423570478,,
2022-11-23,867.3463539566809,,,,,1054.1590712915336,,815.9054515595814,,,869.3536924180718,,,817.8825693287909,,
2022-11-30,877.0560733990529,,,,,1046.8790544738342,,820.0233098476391,,,887.6693162555424,,,824.1998258121954,,
2022-12-07,875.6731635567902,,,,,1013.6166009324108,,809.1288047636442,,,885.5745351597648,,,826.9983021957617,,
2022-12-14,876.2758265639266,,,,,1026.4789241089984,,808.6506269674305,,,879.2296662202833,,,829.1971457555252,,
2022-12-21,872.061804478161,,,,,953.1214979487567,,805.1642808614995,,,872.9755337218655,,,827.2224807754314,,
2022-12-28,865.0750064634516,,,,,924.2752092756696,,796.079957632564,,,864.6852058009176,,,824.6207056208088,,
