date,ticker,market_price,model_price,cheapness,fwd_1w_market_return,is_model_cheap,is_trade_zone,cheapness_bucket
2020-09-16,SHOPCN,1058.75,1163.4058901363771,0.09884853849952976,0.020646989374262237,True,False,3
2020-09-23,SHOPCN,1080.6100000000001,1176.6324515819213,0.08885948823527556,0.03367542406603663,True,False,3
2020-09-30,SHOPCN,1117.0,1219.9708906412634,0.09218521991160554,0.023133393017009896,True,False,3
2020-10-07,SHOPCN,1142.8400000000001,1238.9018207449578,0.0840553539821477,0.013098946484197072,True,False,3
2020-10-14,SHOPCN,1157.81,1242.6531611347184,0.07327900185239242,-0.016963059569359507,True,False,2
2020-10-21,SHOPCN,1138.1699999999998,1214.7270662321696,0.0672632965481165,-0.008619099080102277,True,False,2
2020-10-28,SHOPCN,1128.36,1218.1189131116714,0.07954811683476154,-0.011530008153426197,True,False,3
2020-11-04,SHOPCN,1115.35,1200.205880381145,0.07608004696386354,-0.021383422244138584,True,False,3
2020-11-11,SHOPCN,1091.5,1174.102835914233,0.0756782738563748,-0.019514429683921142,True,False,3
2020-11-18,SHOPCN,1070.2,1169.19849167704,0.09250466424690708,0.037516352083722504,True,False,3
2020-11-25,SHOPCN,1110.35,1204.0238225478424,0.08436422979046475,0.03368307290493999,True,False,3
2020-12-02,SHOPCN,1147.75,1228.009860308953,0.06992799852664167,-0.009627532128076655,True,False,2
2020-12-09,SHOPCN,1136.7,1210.0544889087018,0.0645328485164967,0.031265945280197105,True,False,2
2020-12-16,SHOPCN,1172.24,1263.5503800462302,0.07789392961017384,0.04424861803043756,True,False,3
2020-12-23,SHOPCN,1224.1100000000001,1282.9095568376345,0.048034536796230994,-0.02472000065353608,True,False,2
2020-12-30,SHOPCN,1193.8500000000001,1268.3495783283215,0.06240279627115749,-0.019374293252921282,True,False,2
2021-01-06,SHOPCN,1170.72,1232.1553553142633,0.05247655742984081,0.037822878228782164,True,False,2
2021-01-13,SHOPCN,1215.0,1281.444998888147,0.05468724188324855,0.00804938271604927,True,False,2
2021-01-20,SHOPCN,1224.78,1282.3923401012794,0.04703892952308122,-0.03033197798788345,True,False,2
2021-01-27,SHOPCN,1187.63,1235.0230020721542,0.03990552787665696,0.05350993154433592,True,True,2
2021-02-03,SHOPCN,1251.1799999999998,1291.3018727513631,0.03206722673904898,0.09230486420818762,True,True,1
2021-02-10,SHOPCN,1366.67,1407.5846254413182,0.029937457792530816,-0.01475850058902306,True,True,1
2021-02-17,SHOPCN,1346.5,1385.649239453908,0.02907481578455846,-0.03935388043074639,True,True,1
2021-02-24,SHOPCN,1293.51,1323.1298744428263,0.022898836841482754,-0.049732897310418855,True,True,1
2021-03-03,SHOPCN,1229.18,1281.5423771414446,0.042599437951678795,-0.04814591841715621,True,False,2
2021-03-03,SPOT,979.73,1087.525828162889,0.11002605632458834,-0.02018923580986598,True,False,3
2021-03-10,ABNB,1047.89,1550.793592879793,0.47992021383904127,0.018198475030775985,True,False,4
2021-03-10,SHOPCN,1170.0,1220.8658529768668,0.04347508801441606,0.01538461538461533,True,False,2
2021-03-10,SPOT,959.95,1056.7877300833738,0.1008778895602623,-0.0030730767227460376,True,False,3
2021-03-17,ABNB,1066.96,1609.7112023032687,0.5086893625846036,-0.044978255979605586,True,False,4
2021-03-17,F,1010.79,1115.3244854028069,0.10341859872259018,-0.020568070519098924,True,False,3
2021-03-17,SHOPCN,1188.0,1258.3539752355912,0.05922051787507675,-0.04081649831649836,True,False,2
2021-03-17,SPOT,957.0,1069.8182743553425,0.11788743401812174,-0.028066875653082524,True,False,3
2021-03-24,ABNB,1018.97,1528.3676930519232,0.49991431843128176,0.031237426028244197,True,False,4
2021-03-24,F,990.0,1094.740354855187,0.1057983382375626,0.021525252525252503,True,False,3
2021-03-24,SHOPCN,1139.51,1230.23778100113,0.07961999543762678,0.004537037849602132,True,False,3
2021-03-24,SPOT,930.14,1046.269531514002,0.12485166911862945,0.03084481905949632,True,False,3
2021-03-31,ABNB,1050.8,1552.5999426093058,0.4775408665867014,-0.022011800532927173,True,False,4
2021-03-31,F,1011.31,1094.9028521614437,0.08265799029124969,0.013536897687158378,True,False,3
2021-03-31,SHOPCN,1144.68,1226.6715808917947,0.07162838600464294,0.011479190690848018,True,False,2
2021-03-31,SPOT,958.8299999999999,1048.9712008943518,0.0940116609767653,0.00307666635378534,True,False,3
2021-04-07,ABNB,1027.67,1524.78015094206,0.48372546726289545,-0.015462161978066935,True,False,4
2021-04-07,F,1025.0,1115.677513356657,0.08846586668942154,-0.01361951219512203,True,False,3
2021-04-07,SHOPCN,1157.82,1251.220767356573,0.08066950593060508,0.003791608367449184,True,False,3
2021-04-07,SPOT,961.78,1061.2151966681886,0.10338663381250246,-0.00745492732225661,True,False,3
2021-04-14,ABNB,1011.78,1510.921225977426,0.49332980092255835,-0.03267508746960801,True,False,4
2021-04-14,F,1011.04,1093.5617693677484,0.08162067709264564,-0.026408450704225372,True,False,3
2021-04-14,SHOPCN,1162.21,1259.9785060791544,0.08412292621742572,-0.02553755345419506,True,False,3
2021-04-14,SPOT,954.61,1067.9676406351296,0.11874759392330851,-0.02536114224657182,True,False,3
2021-04-21,ABNB,978.72,1478.2906554875867,0.5104326625465778,0.03348250776524431,True,False,4
2021-04-21,F,984.3399999999999,1072.9541642286815,0.09002393911522605,0.03381961517361898,True,False,3
2021-04-21,SHOPCN,1132.53,1244.278478662368,0.09867153952863758,0.08140181717040607,True,False,3
2021-04-21,SPOT,930.4000000000001,1044.8406402894564,0.12300154803251963,-0.0030309544282031142,True,False,3
2021-04-28,ABNB,1011.49,1518.4776328936528,0.5012285172306723,-0.04105824081305809,True,False,4
2021-04-28,F,1017.6300000000001,1100.056582524565,0.08099857760145139,-0.02813399762192559,True,False,3
2021-04-28,SHOPCN,1224.72,1312.0952061508974,0.07134300587146236,-0.0588950943889216,True,False,2
2021-04-28,SPOT,927.5799999999999,1032.8437270881436,0.113482100830272,-0.018370383147545133,True,False,3
2021-05-05,ABNB,969.9599999999999,1456.925404349476,0.5020468930156666,-0.05006392016165606,True,False,4
2021-05-05,F,989.0,1068.5315902305583,0.08041616807943207,-0.008523761375126337,True,False,3
2021-05-05,SHOPCN,1152.59,1235.0740431359905,0.07156408014644457,-0.004017039884087081,True,False,2
2021-05-05,SPOT,910.54,1018.523114841908,0.11859239005634897,-0.01616623102774184,True,False,3
2021-05-12,ABNB,921.4,1374.553686204985,0.49180994812783274,-0.0015519861080963704,True,False,4
2021-05-12,F,980.57,1053.4590758467189,0.07433337328973842,0.02108977431493919,True,False,2
2021-05-12,SHOPCN,1147.96,1215.6430549111928,0.05895941924038539,0.0225356284191085,True,False,2
2021-05-12,SPOT,895.8199999999999,1002.5801832045672,0.11917593177710621,-0.016576990913353185,True,False,3
2021-05-19,ABNB,919.97,1366.2939339856498,0.48515053097997735,0.004924073611096036,True,False,4
2021-05-19,F,1001.25,1083.0227056141714,0.08167061734249328,0.07085143570536845,True,False,3
2021-05-19,SHOPCN,1173.83,1254.635489847942,0.06883917590106063,0.024850276445481878,True,False,2
2021-05-19,SPOT,880.9699999999999,997.4912724291556,0.13226474503008698,0.03806031987468361,True,False,3
2021-05-26,ABNB,924.5,1354.2543873864274,0.4648506083141454,0.027928610059491543,True,False,4
2021-05-26,F,1072.19,1158.720588530693,0.08070452861031437,0.03906024118859519,True,False,3
2021-05-26,SHOPCN,1203.0,1288.9590574674546,0.07145391310677857,0.0019285120532002153,True,False,2
2021-05-26,SPOT,914.5,1014.2960174057748,0.10912631755688881,0.0032804811372335596,True,False,3
2021-06-02,ABNB,950.3199999999999,1405.326279793425,0.4787927011884683,-0.007555349776917297,True,False,4
2021-06-02,F,1114.07,1202.9715575903333,0.07979889736761009,0.023275018625400712,True,False,3
2021-06-02,SHOPCN,1205.32,1283.7081675631762,0.0650351504689014,-0.014884014203696783,True,False,2
2021-06-02,SPOT,917.5,1014.4760426846908,0.10569595932936328,-0.0035095367847411962,True,False,3
2021-06-09,ABNB,943.1399999999999,1382.2543354316308,0.4655876491630415,0.0037004050300062374,True,False,4
2021-06-09,F,1140.0,1230.255674624983,0.07917164440787976,-0.017017543859649154,True,False,3
2021-06-09,SHOPCN,1187.38,1277.8011365089412,0.07615181029572766,0.06603614681062497,True,False,3
2021-06-09,SPOT,914.28,1013.0487206676988,0.10802896341131694,0.00240626503915653,True,False,3
2021-06-16,ABNB,946.63,1387.0503987522102,0.4652508358621744,-0.004859343143572503,True,False,4
2021-06-16,F,1120.6,1204.631674982061,0.07498810903271558,0.0067642334463682285,True,False,2
2021-06-16,SHOPCN,1265.79,1345.880781485663,0.06327335615359815,0.04465985669028827,True,False,2
2021-06-16,SPOT,916.48,1011.199403793068,0.10335130476722673,0.009230970670391025,True,False,3
2021-06-23,ABNB,942.03,1392.376448729435,0.47805956151018014,0.00028661507595306723,True,False,4
2021-06-23,F,1128.18,1223.8011944956677,0.08475703743699375,-0.019172472477796187,True,False,3
2021-06-23,SHOPCN,1322.32,1413.0587263810023,0.06862085303179441,-0.014512372194325218,True,False,2
2021-06-23,SPOT,924.94,1024.7678460034351,0.10792899647916088,0.012292689255519074,True,False,3
2021-06-30,ABNB,942.3000000000001,1394.3512549758766,0.4797317786011636,-0.010495595882415443,True,False,4
2021-06-30,F,1106.55,1196.6055672886728,0.08138409225852679,-0.016465591252089906,True,False,3
2021-06-30,SHOPCN,1303.1299999999999,1392.8296989738596,0.0688340372594137,0.02016682909609946,True,False,2
2021-06-30,SPOT,936.31,1042.4377289828185,0.1133467857684085,-0.0057993613226389185,True,False,3
2021-07-07,ABNB,932.41,1363.89916417803,0.46276762816575345,-0.00837614354200411,True,False,4
2021-07-07,F,1088.33,1170.2002274747028,0.07522555426635572,-0.0025543722951676395,True,False,3
2021-07-07,SHOPCN,1329.41,1425.0624434511265,0.07195104854869933,-0.013923469809915656,True,False,2
2021-07-07,SPOT,930.8799999999999,1030.5325108857262,0.10705194105118418,-0.012901770367823917,True,False,3
2021-07-14,ABNB,924.5999999999999,1344.484742507846,0.454125830097173,0.005061648280337616,True,False,4
2021-07-14,F,1085.5500000000002,1170.0638507833812,0.07785348513046936,-0.003961125696651635,True,False,3
2021-07-14,SHOPCN,1310.9,1394.7915930019317,0.06399541765346829,0.021710275383324484,True,False,2
2021-07-14,SPOT,918.87,1024.5648630708529,0.11502700389701793,-0.005572061336206469,True,False,3
2021-07-21,ABNB,929.28,1344.1604250287453,0.4464536254183296,0.007715650826446208,True,False,4
2021-07-21,F,1081.25,1168.993902184906,0.08115042976638695,-0.015056647398843936,True,False,3
2021-07-21,SHOPCN,1339.3600000000001,1451.2179731845144,0.08351598762432379,0.00011946004061624826,True,False,3
