,weeks,ann_return,ann_vol,sharpe,hit_rate,skew,excess_kurtosis,var_5,cvar_5,max_drawdown,dd_start,dd_end
realized_pnl,372,0.049206807974512046,0.030345423895621483,0.7804293273143362,0.6666666666666666,2.3283175055300025,44.978972905847435,-0.0005683432414334649,-0.0032655792378525525,-0.038770070108776755,2023-12-13,2024-01-24
unrealized_pnl,371,0.06415194211291686,0.04100323212284972,0.9320470602335849,0.5849056603773585,0.4780497348663224,2.528261908360011,-0.00767969850002055,-0.010690916759167514,-0.052897949785346676,2022-01-26,2022-04-13
available capital,372,0.13436838259772155,0.07653809289487004,1.3619561432554095,0.7231182795698925,3.789602622183885,40.23021720756072,-0.01148885103127429,-0.016913736829833083,-0.03927449435437047,2022-12-28,2023-04-19
