period,start,end,realized_total,unrealized_total,available_capital_total,spx_total,hyg_total
COVID shock,2020-02-19,2020-04-08,-0.0006844927145532864,-0.0024183341013997994,0.04734062041605713,-0.18626403704744832,-0.1253677302557138
2022 rates/credit selloff,2022-01-05,2022-10-12,0.005512491399280339,0.009567469289229358,0.16099016041850622,-0.2537064005040607,-0.17790283679797714
AI/growth rebound,2023-01-04,2023-12-27,0.011116028702970793,0.05267434937644455,0.03104748869617424,0.2638916055635152,0.07311028500619621
Late sample,2024-01-03,2025-03-12,0.11610961079294624,0.16878610598606913,0.32566031344530244,0.2849622927986162,0.02322299204516498
