strategy_leg,alpha_weekly,r2,beta_SPX Index,beta_LQD US Equity,beta_HYG US Equity,beta_WORLD Index,beta_SX5E Index,beta_HSI Index,beta_CCMP Index,beta_GSTHHVIP Index
realized_pnl,0.000950195488105821,0.008194291381012686,0.06813767957549274,3.086986381553255e-05,0.026885283237954086,-0.07505379821605382,0.011420916525047387,0.011608862067479669,-0.02369049384953833,0.002952042175290919
unrealized_pnl,0.0015613010278538605,0.17629519266775417,-0.14390911136903384,0.03220181707191331,0.08757225858047311,0.2297783892352195,0.0279926685577939,-0.008546103430568231,-0.05019195648354956,-0.07438174099398977
available capital,0.0025130443525160934,0.013806550204882084,-0.04578310086243825,-0.006777572980092376,-0.05945924537656974,0.011061738819700814,0.054993295972980125,0.020850486614197413,0.04353033817866093,-0.04122900901031156
