model,observations,signal_fwd_return_corr,top_minus_bottom_quintile_fwd_return,trade_zone_obs,trade_zone_avg_fwd_return,trade_zone_hit_rate
baseline,1599,0.004560426105854918,-0.003974028395302996,471,0.0017080389190103104,0.5520169851380042
lattice,1599,0.02513805273507411,-0.0024686803176635318,689,0.0014759038393381153,0.5718432510885341
